date,D,Oth,R,total,D_cum,R_cum,Oth_cum,total_cum
1801-06-20,0,0,0,0,6,3,3,12
1801-06-21,0,0,0,0,6,3,3,12
1801-06-22,0,0,0,0,6,3,3,12
1801-06-23,0,0,0,0,6,3,3,12
1801-06-24,0,0,0,0,6,3,3,12
1801-06-25,0,0,0,0,6,3,3,12
1801-06-26,0,0,0,0,6,3,3,12
1801-06-27,0,0,0,0,6,3,3,12
1801-06-28,0,0,0,0,6,3,3,12
1801-06-29,0,0,0,0,6,3,3,12
1801-06-30,0,0,0,0,6,3,3,12
1801-07-01,0,0,0,0,6,3,3,12
1801-07-02,0,0,0,0,6,3,3,12
1801-07-03,0,0,0,0,6,3,3,12
1801-07-04,0,0,0,0,6,3,3,12
1801-07-05,0,0,0,0,6,3,3,12
1801-07-06,0,0,0,0,6,3,3,12
1801-07-07,0,0,0,0,6,3,3,12
1801-07-08,0,0,0,0,6,3,3,12
1801-07-09,0,0,0,0,6,3,3,12
1801-07-10,0,0,0,0,6,3,3,12
1801-07-11,0,0,0,0,6,3,3,12
1801-07-12,0,0,0,0,6,3,3,12
1801-07-13,0,0,0,0,6,3,3,12
1801-07-14,0,0,0,0,6,3,3,12
1801-07-15,0,0,0,0,6,3,3,12
1801-07-16,0,0,0,0,6,3,3,12
1801-07-17,0,0,0,0,6,3,3,12
1801-07-18,0,0,0,0,6,3,3,12
1801-07-19,0,0,0,0,6,3,3,12
1801-07-20,0,0,0,0,6,3,3,12
1801-07-21,0,0,0,0,6,3,3,12
1801-07-22,0,0,0,0,6,3,3,12
1801-07-23,0,0,0,0,6,3,3,12
1801-07-24,0,0,0,0,6,3,3,12
1801-07-25,0,0,0,0,6,3,3,12
1801-07-26,0,0,0,0,6,3,3,12
1801-07-27,0,0,0,0,6,3,3,12
1801-07-28,0,0,0,0,6,3,3,12
1801-07-29,0,0,0,0,6,3,3,12
1801-07-30,0,0,0,0,6,3,3,12
1801-07-31,0,0,0,0,6,3,3,12
1801-08-01,0,0,0,0,6,3,3,12
1801-08-02,0,0,0,0,6,3,3,12
1801-08-03,0,0,0,0,6,3,3,12
1801-08-04,0,0,0,0,6,3,3,12
1801-08-05,0,0,0,0,6,3,3,12
1801-08-06,0,0,0,0,6,3,3,12
1801-08-07,0,0,0,0,6,3,3,12
1801-08-08,0,0,0,0,6,3,3,12
1801-08-09,0,0,0,0,6,3,3,12
1801-08-10,0,0,0,0,6,3,3,12
1801-08-11,0,0,0,0,6,3,3,12
1801-08-12,0,0,0,0,6,3,3,12
1801-08-13,0,0,0,0,6,3,3,12
1801-08-14,0,0,0,0,6,3,3,12
1801-08-15,0,0,0,0,6,3,3,12
1801-08-16,0,0,0,0,6,3,3,12
1801-08-17,0,0,0,0,6,3,3,12
1801-08-18,0,0,0,0,6,3,3,12
1801-08-19,0,0,0,0,6,3,3,12
1801-08-20,0,0,0,0,6,3,3,12
1801-08-21,0,0,0,0,6,3,3,12
1801-08-22,0,0,0,0,6,3,3,12
1801-08-23,0,0,0,0,6,3,3,12
1801-08-24,0,0,0,0,6,3,3,12
