polling_place_key,D_registered,Oth_registered,R_registered,D_voted,Oth_voted,R_voted,D_turnout_pct,R_turnout_pct,Oth_turnout_pct,registered_total,voted_total,turnout_pct,polling_place,full_address,post_office,precinct_codes,precinct_split_ids,municipality_districts
Central Bucks High School South | 1100 Folly Rd Warrington PA 18976 | Warrington,3078,1620,3741,1798,569,1882,58.41,50.31,35.12,8439,4249,50.35,Central Bucks High School South,1100 Folly Rd Warrington PA 18976,Warrington,50020; 50060; 50070,50020-1; 50060-1; 50070-1,Warrington Twp. District 2; Warrington Twp. District 6; Warrington Twp. District 7
Chalfont United Methodist Church | 11 Meadowbrook Ln Chalfont PA 18914 | Chalfont,1455,602,1358,920,193,703,63.23,51.77,32.06,3415,1816,53.18,Chalfont United Methodist Church,11 Meadowbrook Ln Chalfont PA 18914,Chalfont,07000,07000-1,Chalfont Borough
Charles Boehm Middle School | 866 Big Oak Rd Yardley PA 19067 | Yardley,2399,1084,1860,1567,424,925,65.32,49.73,39.11,5343,2916,54.58,Charles Boehm Middle School,866 Big Oak Rd Yardley PA 19067,Yardley,20024; 20029,20024-1; 20029-1,Lower Makefield Twp. South 4; Lower Makefield Twp. South 9
Churchville Elementary School | 100 New Rd Churchville PA 18966 | Churchville,430,209,699,240,71,381,55.81,54.51,33.97,1338,692,51.72,Churchville Elementary School,100 New Rd Churchville PA 18966,Churchville,31020,31020-1,Northampton Twp. District 2
Cold Spring Elementary School | 4150 Durham Rd Doylestown PA 18902 | Doylestown,1203,711,1532,809,278,917,67.25,59.86,39.1,3446,2004,58.15,Cold Spring Elementary School,4150 Durham Rd Doylestown PA 18902,Doylestown,06033; 06034,06033-1; 06034-1,Buckingham Twp. Upper 3; Buckingham Twp. Upper 4
Cornwell Elementary School | 2215 Hulmeville Rd Bensalem PA 19020 | Bensalem,343,143,523,191,44,279,55.69,53.35,30.77,1009,514,50.94,Cornwell Elementary School,2215 Hulmeville Rd Bensalem PA 19020,Bensalem,02022,02022-1,Bensalem Twp. Lower Middle 2
Cornwells Elementary School | 2215 Hulmeville Rd Bensalem PA 19020 | Bensalem,645,309,962,326,97,535,50.54,55.61,31.39,1916,958,50.0,Cornwells Elementary School,2215 Hulmeville Rd Bensalem PA 19020,Bensalem,02023,02023-1,Bensalem Twp. Lower Middle 3
Covenant Presbyterian Church | 4000 Route 202 Doylestown PA 18902 | Doylestown,870,482,999,571,213,579,65.63,57.96,44.19,2351,1363,57.98,Covenant Presbyterian Church,4000 Route 202 Doylestown PA 18902,Doylestown,06031,06031-1,Buckingham Twp. Upper 1
Deep Run Mennonite Church East | 350 Kellers Church Rd Perkasie PA 18944 | Perkasie,880,512,1608,564,178,894,64.09,55.6,34.77,3000,1636,54.53,Deep Run Mennonite Church East,350 Kellers Church Rd Perkasie PA 18944,Perkasie,01010,01010-1,Bedminster Twp. East
Deep Run Presbyterian Church | 16 Irish Meeting House Rd Perkasie Pa 18944 | Perkasie,885,492,1491,609,178,826,68.81,55.4,36.18,2868,1613,56.24,Deep Run Presbyterian Church,16 Irish Meeting House Rd Perkasie Pa 18944,Perkasie,01020,01020-1,Bedminster Twp. West
Delaware Valley Fire Company | 75 Headquarters Rd Erwinna PA 18920 | Erwinna,430,225,469,293,107,267,68.14,56.93,47.56,1124,667,59.34,Delaware Valley Fire Company,75 Headquarters Rd Erwinna PA 18920,Erwinna,44010,44010-1,Tinicum Twp. Delaware
Delaware valley Vietnam Veterans | 800 Coates Ave Bristol PA 19007 | Bristol,671,237,472,292,52,185,43.52,39.19,21.94,1380,529,38.33,Delaware valley Vietnam Veterans,800 Coates Ave Bristol PA 19007,Bristol,05051,05051-1,Bristol Twp. 5 - 1
Doylestown Borough Hall Municipal Building | 10 Doyle St Doylestown PA 18901 | Doylestown,491,175,260,317,66,144,64.56,55.38,37.71,926,527,56.91,Doylestown Borough Hall Municipal Building,10 Doyle St Doylestown PA 18901,Doylestown,08031,08031-1,Doylestown Borough 3 - 1
